STATION NAME,AGENCY,NO. OF PORTS,STREET,CITY,STATE,POSTCODE,BOROUGH
NYC FLEET / DSNY_Q7-1,DSNY,2,31st Ave,Flushing,New York,11354,QUEENS
NYC FLEET / DSNY_Q7-2,DSNY,2,31st ave,Flushing,New York,11354,QUEENS
NYC FLEET / DSNY_Q7-3,DSNY,2,122nd St,Flushing,New York,11354,QUEENS
NYC FLEET / DSNY_Q7A-1,DSNY,2,122nd St,Flushing,New York,11354,QUEENS
NYC FLEET / DSNY_Q7A-2,DSNY,2,122nd St,Flushing,New York,11354,QUEENS
NYC FLEET / DSNY_QBSROOF-1,DSNY,2,58th St,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_QBSROOF-2,DSNY,2,58th St,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_QBSROOF-3,DSNY,2,58th St,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_QBSROOF-4,DSNY,1,58th St,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_QBSSHOP-1,DSNY,1,58th St,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_QBSSHOP-2,DSNY,1,52nd Ave,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_RBS-1,DSNY,1,Muldoon Ave,Staten Island,New York,10314,STATEN IS
NYC FLEET / DSNY_SI2-1,DSNY,2,Richmond Ave,Heartland Village,New York,10314,STATEN IS
NYC FLEET / DSNY_SI2-2,DSNY,1,Richmond Ave,Staten Island,New York,10314,STATEN IS
NYC FLEET / DSNY_SI2-3,DSNY,2,Richmond Ave,Heartland Village,New York,10314,STATEN IS
NYC FLEET / DSNY_SI2-4,DSNY,1,Richmond Ave,Staten Island,New York,10314,STATEN IS
NYC FLEET / DSNY_SI3-1,DSNY,2,Muldoon Ave,Staten Island,New York,10314,STATEN IS
NYC FLEET / DSNY_SITS-1,DSNY,2,West Service Road,Staten Island,New York,10314,STATEN IS
NYC FLEET / DSNY_SPRING ST1,DSNY,2,Spring St,New York,New York,10014,MANHATTAN
NYC FLEET / DSNY_SPRING ST2,DSNY,2,Spring St,New York,New York,10014,MANHATTAN
NYC FLEET / DSNY_WASH_ST-1,DSNY,2,Washington Ave,Bronx,New York,10457,BRONX
NYC FLEET / FDNY 35ST LIC#1,FDNY,1,35th St,LIC,New York,11101,QUEENS
NYC FLEET / FDNY 35ST LIC#2,FDNY,1,35th St,LIC,New York,11101,QUEENS
NYC FLEET / FDNY 35ST LIC#3,FDNY,1,35th St,LIC,New York,11101,QUEENS
NYC FLEET / FDNY-FA_B14,FDNY,1,Randalls Island Fire Academy,New York,New York,10035,MANHATTAN
NYC FLEET / FDNY-FA_B9,FDNY,1,Randalls Island Fire Academy,New York,New York,10035,MANHATTAN
NYC FLEET / FDNY121ST,FDNY,1,121st St,Queens,New York,11418,QUEENS
NYC FLEET / FDNY35EMPIRE,FDNY,1,Empire Blvd,Brooklyn,New York,11205,BROOKLYN
NYC FLEET / FDNY48-58 35LIC,FDNY,1,35th St,Long Island City,New York,11101,QUEENS
NYC FLEET / FDNY9METROTECH1,FDNY,1,MetroTech Center,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / FDNY9METROTECH2,FDNY,1,MetroTech Center,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / FDNY9METROTECH3,FDNY,1,MetroTech Center,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / FDNY9METROTECH4,FDNY,1,MetroTech Center,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / FDNY9METROTECH5,FDNY,1,MetroTech Center,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / FDNY9METROTECH6,FDNY,1,MetroTech Center,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / FDNY9METROTECH7,FDNY,1,MetroTech Center,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / FDNYBRIELLESI,FDNY,1,Brielle Ave,Staten Island,New York,10314,STATEN IS
NYC FLEET / FDNYCIHOSP,FDNY,1,E 6th St,Brooklyn,New York,11235,BROOKLYN
NYC FLEET / FDNYE176ST,FDNY,1,E 176th St,Bronx,New York,10457,BRONX
NYC FLEET / FDNYFORTTOTTEN1,FDNY,1,Weaver Ave,Bayside,New York,11359,QUEENS
NYC FLEET / FDNYFORTTOTTEN2,FDNY,1,Weaver Ave,Bayside,New York,11359,QUEENS
NYC FLEET / FDNYREVIEWAVE#2,FDNY,1,Review Ave,Long Island City,New York,11101,QUEENS
NYC FLEET / MAYOR_HRO1,MAYOR,1,Cross Bay Blvd,Howard Beach,New York,11414,
NYC FLEET / MAYOR_HRO2,MAYOR,1,Cross Bay Blvd,Howard Beach,New York,11414,
NYC FLEET / NYCHA 23ASH1A B,NYCHA,2,Ash St,Greenpoint,New York,11222,BROOKLYN
NYC FLEET / NYCHA 23ASH2A B,NYCHA,2,Ash St,Greenpoint,New York,11222,BROOKLYN
NYC FLEET / NYCHA 23ASH3A B,NYCHA,2,Ash St,Greenpoint,New York,11222,BROOKLYN
NYC FLEET / NYCHA_ALSMITH,NYCHA,1,Robert F. Wagner Sr. Place,New York,New York,10038,
NYC FLEET / NYCHA_LIC1A-B,NYCHA,2,49th Ave,LIC,New York,11101,
NYC FLEET / NYCHA_LIC2A-B,NYCHA,2,49th Ave,LIC,New York,11101,
NYC FLEET / NYCHAALSMITH02,NYCHA,2,St. James Pl,New York,New York,10038,MANHATTAN
NYC FLEET / NYPD_CRS_1_L3,NYPD,1,58th St,Flushing,New York,11377,QUEENS
NYC FLEET / NYPD_CRS_2_L3,NYPD,1,58th St,Flushing,New York,11377,QUEENS
NYC FLEET / NYPD105PCT-2,NYPD,2,222nd St,Queens Village,New York,11428,QUEENS
NYC FLEET / NYPD111PCT-1,NYPD,2,Northern Blvd,Bayside,New York,11361,
NYC FLEET / NYPD122PCT-1,NYPD,2,Hylan Blvd,New Dorp,New York,10306,STATEN IS
NYC FLEET / NYPD25PCT-1,NYPD,2,E 119th St,New York,New York,10035,MANHATTAN
NYC FLEET / NYPD44PCT-1,NYPD,2,River Ave,Concourse,New York,10452,BRONX
NYC FLEET / NYPD49PCT-1,NYPD,2,Eastchestr Rd,East Bronx,New York,10461,BRONX
NYC FLEET / NYPD60PCT-1,NYPD,2,W 8th St,Coney Island,New York,11224,BROOKLYN
NYC FLEET / NYPD61PCT-1,NYPD,2,Gravesend Neck Rd,Sheepshead Bay,New York,11223,BROOKLYN
NYC FLEET / NYPD72PCT-1,NYPD,2,4th Ave,Greenwood,New York,11232,BROOKLYN
NYC FLEET / NYPD73PCT-1,NYPD,2,Thomas S Boyland St,Brownsville,New York,11212,BROOKLYN
NYC FLEET / NYPD7PCT-1,NYPD,2,1/2 Pitt St,New York,New York,10002,
NYC FLEET / NYPDACADEMY-S1,NYPD,1,College Point Blvd,Flushing,New York,11354,QUEENS
NYC FLEET / NYPDACADEMY-S2,NYPD,1,College Point Blvd,Flushing,New York,11354,QUEENS
NYC FLEET / NYPDACADEMY-S3,NYPD,1,28th Ave,Flushing,New York,11354,QUEENS
NYC FLEET / NYPDACADEMY-S4,NYPD,1,28th Ave,Flushing,New York,11354,QUEENS
NYC FLEET / NYPDBXTRAFFIC-1,NYPD,1,Third Ave,New York,New York,10457,BRONX
NYC FLEET / NYPDBXTRAFFIC-2,NYPD,1,Third Ave,New York,New York,10457,BRONX
NYC FLEET / NYPDERIEBASIN,NYPD,1,Columbia St,Red Hook,New York,11231,BROOKLYN
NYC FLEET / NYPDFSD-CRS1A-B,NYPD,2,58th St,Flushing,New York,11377,QUEENS
NYC FLEET / NYPDHQ_1PP_1_L3,NYPD,1,Police Plaza Path,New York,New York,10038,
NYC FLEET / NYPDHQ_1PP_2_L3,NYPD,1,Avenue of the Finest,New York,New York,10038,MANHATTAN
NYC FLEET / NYPDHQ_1PP_3_L3,NYPD,1,Rose St,New York,New York,10038,
NYC FLEET / NYPDHQ_1PP_4_L3,NYPD,1,Police Plaza Path,New York,New York,10038,
NYC FLEET / NYPDHQ_1PP_5_L3,NYPD,1,Rose St,New York,New York,10038,
NYC FLEET / NYPDHQ_1PP_6_L3,NYPD,1,Frankfort St,New York,New York,10038,MANHATTAN
NYC FLEET / NYPDSSD_DK_1_L3,NYPD,1,Dutch Kill street,LIC,New York,11101,
NYC FLEET / NYPDSSHOP4_1_L3,NYPD,1,Metropolitan Ave,New York,New York,11385,QUEENS
NYC FLEET / OCME SISEAVIEW,OCME,2,Brielle Ave,Staten Island,New York,10314,STATEN IS
NYC FLEET / OCME_26ST-1,OCME,2,E 26th St,New York,New York,10016,MANHATTAN
NYC FLEET / OCME_BKLN-1,OCME,2,Winthrop St,East Flatbush,New York,11203,BROOKLYN
NYC FLEET / OCME_QUEENS-1,OCME,2,82nd Dr,Jamaica,New York,11432,QUEENS
NYC FLEET / OEMHQ_1_L3,OEM,1,Cadman Plaza E,Downtown Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQ_2_L3,OEM,1,Cadman Plaza E,Downtown Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQARC-1,OEM,1,Red Cross Pl,Downtown Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQARC-2,OEM,1,Red Cross Pl,Downtown Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQARC-3,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQARC-4,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-1,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-10,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-11,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-12,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-2,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-3,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-4,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-5,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-6,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-7,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-8,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMHQCADMAN-9,OEM,1,Cadman Plaza E,Brooklyn,New York,11201,BROOKLYN
NYC FLEET / OEMWAREHSE_1_L3,OEM,1,Flushing Ave,Brooklyn,New York,11206,BROOKLYN
NYC FLEET / OEMWAREHSE_2_L3,OEM,1,Flushing Ave,East Williamsburg,New York,11206,BROOKLYN
NYC FLEET / PROB_340BAYST,PROB,2,Bay St,Tompkinsville,New York,10301,STATEN IS
